"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 15 19:32:36 EST 2020","Tue Dec 15 19:32:38 EST 2020","2445","SmokeTest","SmokeTest","sailotech.com.EzScheduler.TestPages.DoctorLoginTest","sailotech.com.EzScheduler.TestPages.DoctorLoginTest","TC_02_DoctorLogin","Navigate_homepage_to_DoctorLogin",""
"passed","Thu Dec 24 15:17:45 EST 2020","Thu Dec 24 15:17:54 EST 2020","9572","Default suite","Default test","com.sailotech.ezscheduler.login_testpages.Consumerlogintest","com.sailotech.ezscheduler.login_testpages.Consumerlogintest","TC_02_Patientlogin","Navigate_homepage_to_PatientLogin",""
"broken","Wed Dec 23 16:22:47 EST 2020","Wed Dec 23 16:22:58 EST 2020","11585","Default suite","Default test","com.sailotech.ezscheduler.login_testpages.Consumerlogintest","com.sailotech.ezscheduler.login_testpages.Consumerlogintest","TC_01_navigate_homepage_to_Doctor_login","Navigate_homepage_to_Doctor_loginRegister",""
"passed","Wed Dec 23 08:44:14 EST 2020","Wed Dec 23 08:45:18 EST 2020","63828","SmokeTest","SmokeTest","sailotech.com.EzScheduler.PositiveTestPages.AdminVerifyTest","sailotech.com.EzScheduler.PositiveTestPages.AdminVerifyTest","TC_02_adminverifyDoctor","Navigate_homepage_to_AdminLogin",""
"passed","Wed Jan 20 15:43:37 EST 2021","Wed Jan 20 15:43:40 EST 2021","3417","Default suite","Default test","com.sailotech.ezscheduler.Testpages.AdminverifyUnverifiedDoctortest","com.sailotech.ezscheduler.Testpages.AdminverifyUnverifiedDoctortest","TC_06_AdminLogout","To-Logout_from_Adminpage",""
"broken","Thu Feb 04 14:39:12 EST 2021","Thu Feb 04 14:39:12 EST 2021","0","Default suite","Default test","com.sailotech.ezscheduler.Testpages.ConsumerscheduleannAppTest","com.sailotech.ezscheduler.Testpages.ConsumerscheduleannAppTest","afterClass","afterClass",""
"passed","Mon Dec 14 11:53:46 EST 2020","Mon Dec 14 11:53:49 EST 2020","3120","Default suite","Default test","sailotech.com.EzScheduler.Test.PatientScheduleAnAppTest","sailotech.com.EzScheduler.Test.PatientScheduleAnAppTest","TC_02_Patientlogin","Navigate_homepage_to_PatientLogin",""
"broken","Mon Feb 15 15:35:12 EST 2021","Mon Feb 15 15:35:12 EST 2021","1","Default suite","Default test","com.sailotech.ezscheduler.Testpages.ProviderCredentialsfromMailTest","com.sailotech.ezscheduler.Testpages.ProviderCredentialsfromMailTest","stopRecording","stopRecording",""
"broken","Fri Dec 25 09:55:27 EST 2020","Fri Dec 25 09:55:41 EST 2020","14360","Default suite","Default test","com.sailotech.ezscheduler.testpages.Adminverifydoctortest","com.sailotech.ezscheduler.testpages.Adminverifydoctortest","TC_02_adminverifyDoctor","Navigate_homepage_to_AdminLogin",""
"passed","Mon Dec 14 13:16:14 EST 2020","Mon Dec 14 13:16:17 EST 2020","3705","Default suite","Default test","sailotech.com.EzScheduler.Test.GenerateSlotsTest","sailotech.com.EzScheduler.Test.GenerateSlotsTest","TC_02_DoctorLogin","Navigate_homepage_to_DoctorLogin",""
"broken","Fri Jan 15 16:16:44 EST 2021","Fri Jan 15 16:16:44 EST 2021","1","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Adminverifydoctortest","com.sailotech.ezscheduler.Testpages.Adminverifydoctortest","afterClass","afterClass",""
"passed","Wed Dec 16 18:10:05 EST 2020","Wed Dec 16 18:10:21 EST 2020","15896","Default suite","Default test","sailotech.com.EzScheduler.AdminCredentialspagenew.AdminLoginCredentialsTest","sailotech.com.EzScheduler.AdminCredentialspagenew.AdminLoginCredentialsTest","TC_01_navigate_homepage_to_admin_login","Navigate_homepage_to_Admin_loginRegister",""
"passed","Mon Jan 11 11:22:41 EST 2021","Mon Jan 11 11:22:51 EST 2021","9576","Default suite","Default test","com.sailotech.ezscheduler.testpages.Consumerlogintest","com.sailotech.ezscheduler.testpages.Consumerlogintest","TC_02_PatientLogin","Navigate_To_PatientLogin",""
"broken","Mon Jan 25 16:14:17 EST 2021","Mon Jan 25 16:14:17 EST 2021","404","Default suite","Default test","com.sailotech.ezscheduler.Testpages.AdminUnverifiedDoctorTest1","com.sailotech.ezscheduler.Testpages.AdminUnverifiedDoctorTest1","TC_08_Navigate_to_AdminLogin","Navigate to Admin Login page",""
"passed","Mon Dec 14 13:12:44 EST 2020","Mon Dec 14 13:12:48 EST 2020","3700","Default suite","Default test","sailotech.com.EzScheduler.Test.DoctorLoginTest","sailotech.com.EzScheduler.Test.DoctorLoginTest","TC_02_DoctorLogin","Navigate_homepage_to_DoctorLogin",""
"passed","Thu Dec 24 15:22:44 EST 2020","Thu Dec 24 15:22:49 EST 2020","5557","Default suite","Default test","com.sailotech.ezscheduler.login_testpages.Adminlogintest","com.sailotech.ezscheduler.login_testpages.Adminlogintest","TC_01_navigate_homepage_to_admin_login","Navigate_homepage_to_Admin_loginRegister",""
"broken","Tue Dec 15 19:56:59 EST 2020","Tue Dec 15 19:56:59 EST 2020","19","SmokeTest","SmokeTest","sailotech.com.EzScheduler.TestPages.PatientRegistrationTest","sailotech.com.EzScheduler.TestPages.PatientRegistrationTest","TC_02_PatientRegister","Navigate_DoctorRegister",""
"broken","Wed Jan 20 09:36:37 EST 2021","Wed Jan 20 09:36:37 EST 2021","0","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Providerrregistrationtest","com.sailotech.ezscheduler.Testpages.Providerrregistrationtest","afterClass","afterClass",""
"passed","Wed Dec 23 10:51:39 EST 2020","Wed Dec 23 10:51:49 EST 2020","10387","Default suite","Default test","com.sailotech.ezscheduler.testpages.Adminlogintest","com.sailotech.ezscheduler.testpages.Adminlogintest","TC_02_adminLogout","Navigate_homepage_to_AdminLogin",""
